Type	Time	Value	Data center
rtb.requests	1561435200	51928.66667	dc=I
rtb.requests	1561435560	49613.44167	dc=I
rtb.requests	1561435920	50183.86944	dc=I
rtb.requests	1561436280	-1630442.511	dc=I
rtb.requests	1561436640	34375.98472	dc=I
rtb.requests	1561437000	53960.12963	dc=I
rtb.requests	1561437360	59787.71944	dc=I
rtb.requests	1561437720	59048.58333	dc=I
rtb.requests	1561438080	58665.50556	dc=I
rtb.requests	1561438440	59610.84444	dc=I
rtb.requests	1561438800	58476.01667	dc=I
rtb.requests	1561439160	57845.52778	dc=I
rtb.requests	1561439520	57221.725	dc=I
rtb.requests	1561439880	59112.97778	dc=I
rtb.requests	1561440240	59266.38889	dc=I
rtb.requests	1561440600	58758.71111	dc=I
rtb.requests	1561440960	59082.38889	dc=I
rtb.requests	1561441320	58200.53333	dc=I
rtb.requests	1561441680	57775.37778	dc=I
rtb.requests	1561442040	55914.83611	dc=I
rtb.requests	1561442400	59704.08889	dc=I
rtb.requests	1561442760	57012.57222	dc=I
rtb.requests	1561443120	61526.57778	dc=I
rtb.requests	1561443480	57483.49444	dc=I
rtb.requests	1561443840	58805.36667	dc=I
rtb.requests	1561444200	59840.22778	dc=I
rtb.requests	1561444260	58198.03849	dc=I
rtb.requests	1561444320	58962.99405	dc=I
rtb.requests	1561444560	57434.84437	dc=I
rtb.requests	1561444620	58832.08236	dc=I
rtb.requests	1561444680	59355.21222	dc=I
rtb.requests	1561444920	58045.36111	dc=I
rtb.requests	1561444980	58097.79444	dc=I
rtb.requests	1561445040	58327.5	dc=I
rtb.requests	1561445280	59867.34167	dc=I
rtb.requests	1561445340	59622.48333	dc=I
rtb.requests	1561445400	58461.72222	dc=I
rtb.requests	1561445640	58501.6	dc=I
rtb.requests	1561445700	58286.38373	dc=I
rtb.requests	1561445760	57600.92857	dc=I
rtb.requests	1561446000	58464.21706	dc=I
rtb.requests	1561446060	58577.85254	dc=I
rtb.requests	1561446120	55342.48389	dc=I
rtb.requests	1561446360	55354.58833	dc=I
rtb.requests	1561446420	53068.04389	dc=I
rtb.requests	1561446480	51964.55778	dc=I
rtb.requests	1561446720	50189.90889	dc=I
rtb.requests	1561446780	51490.94778	dc=I
rtb.requests	1561446840	50375.26032	dc=I
rtb.requests	1561447080	49967.9131	dc=I
rtb.requests	1561447140	44573.31587	dc=I
rtb.requests	1561447200	44356.63254	dc=I
rtb.requests	1561447440	43138.77143	dc=I
rtb.requests	1561447500	41081.94603	dc=I
rtb.requests	1561447560	37542.25119	dc=I
rtb.requests	1561447800	35916.10159	dc=I
rtb.requests	1561447860	33193.13794	dc=I
rtb.requests	1561447920	30742.41333	dc=I
rtb.requests	1561448160	28421.48722	dc=I
rtb.requests	1561448220	27075.49611	dc=I
rtb.requests	1561448280	27463.62111	dc=I
rtb.requests	1561448520	25879.04167	dc=I
rtb.requests	1561448580	24780.11167	dc=I
rtb.requests	1561448640	22556.13968	dc=I
rtb.requests	1561448880	22246.85913	dc=I
rtb.requests	1561448940	21815.93786	dc=I
rtb.requests	1561449000	20924.11405	dc=I
rtb.requests	1561449240	20493.27516	dc=I
rtb.requests	1561449300	19353.96722	dc=I
rtb.requests	1561449360	19277.47778	dc=I
rtb.requests	1561449600	19568.62222	dc=I
rtb.requests	1561449660	19541.06111	dc=I
rtb.requests	1561449720	19134.64444	dc=I
rtb.requests	1561449960	20862.37778	dc=I
rtb.requests	1561450020	23119.53556	dc=I
rtb.requests	1561450080	24176.33833	dc=I
rtb.requests	1561450320	27168.305	dc=I
rtb.requests	1561450380	30389.25667	dc=I
rtb.requests	1561450440	31587.28532	dc=I
rtb.requests	1561450680	33129.75476	dc=I
rtb.requests	1561450740	36662.41825	dc=I
rtb.requests	1561450800	40507.9377	dc=I
rtb.requests	1561451040	43947.58833	dc=I
rtb.requests	1561451100	46769.83302	dc=I
rtb.requests	1561451160	48536.67111	dc=I
rtb.requests	1561451400	48157.96167	dc=I
rtb.requests	1561451460	51242.60389	dc=I
rtb.requests	1561451520	50648.82889	dc=I
rtb.requests	1561451760	52373.12444	dc=I
rtb.requests	1561451820	50821.84889	dc=I
rtb.requests	1561451880	51612.80444	dc=I
rtb.requests	1561452120	50867.41278	dc=I
rtb.requests	1561452180	52103.80262	dc=I
rtb.requests	1561452240	51254.2373	dc=I
rtb.requests	1561452480	50250.83262	dc=I
rtb.requests	1561452540	51484.13857	dc=I
rtb.requests	1561452600	50348.97151	dc=I
rtb.requests	1561452840	49622.82706	dc=I
rtb.requests	1561452900	48304.1377	dc=I
rtb.requests	1561452960	49619.77143	dc=I
rtb.requests	1561453020	49049.67897	dc=I
rtb.requests	1561453200	48917.98198	dc=I
rtb.requests	1561453260	46709.95302	dc=I
rtb.requests	1561453320	44318.00897	dc=I
rtb.requests	1561453560	42761.05101	dc=I
rtb.requests	1561453620	39728.71545	dc=I
rtb.requests	1561453680	38749.89045	dc=I
rtb.requests	1561453920	39507.14111	dc=I
rtb.requests	1561453980	38765.36944	dc=I
rtb.requests	1561454040	38019.525	dc=I
rtb.requests	1561454280	38058.44722	dc=I
rtb.requests	1561454340	38713.08643	dc=I
rtb.requests	1561454400	37731.16667	dc=I
rtb.requests	1561454640	38201.93333	dc=I
rtb.requests	1561454700	38625.90278	dc=I
rtb.requests	1561454760	38225.61984	dc=I
rtb.requests	1561455000	37428.03627	dc=I
rtb.requests	1561455060	37437.78389	dc=I
rtb.requests	1561455120	36690.93111	dc=I
rtb.requests	1561455360	34393.10222	dc=I
rtb.requests	1561455420	33233.04889	dc=I
rtb.requests	1561455480	33430.36	dc=I
rtb.requests	1561455720	32528.33833	dc=I
rtb.requests	1561455780	32576.01833	dc=I
rtb.requests	1561455840	32494.70159	dc=I
rtb.requests	1561456080	33663.0127	dc=I
rtb.requests	1561456140	33225.76468	dc=I
rtb.requests	1561456200	32970.74444	dc=I
rtb.requests	1561456440	33419.63056	dc=I
rtb.requests	1561456500	34019.24881	dc=I
rtb.requests	1561456560	32422.72262	dc=I
rtb.requests	1561456620	32119.16786	dc=I
rtb.requests	1561456800	30815.85984	dc=I
rtb.requests	1561456860	30316.94968	dc=I
rtb.requests	1561456920	28994.52111	dc=I
rtb.requests	1561457160	28097.41667	dc=I
rtb.requests	1561457220	27798.22	dc=I
rtb.requests	1561457280	27634.24222	dc=I
rtb.requests	1561457520	28494.09667	dc=I
rtb.requests	1561457580	29844.08722	dc=I
rtb.requests	1561457640	30840.08722	dc=I
rtb.requests	1561457880	31869.07056	dc=I
rtb.requests	1561457940	32629.2246	dc=I
rtb.requests	1561458000	32774.63214	dc=I
rtb.requests	1561458240	32294.82937	dc=I
rtb.requests	1561458300	35085.39405	dc=I
rtb.requests	1561458360	35139.8369	dc=I
rtb.requests	1561458600	37318.83913	dc=I
rtb.requests	1561458660	38927.8877	dc=I
rtb.requests	1561458720	38616.425	dc=I
rtb.requests	1561458960	39649.98667	dc=I
rtb.requests	1561459020	39371.28389	dc=I
rtb.requests	1561459080	40572.22778	dc=I
rtb.requests	1561459320	39360.8025	dc=I
rtb.requests	1561459680	39814.98056	dc=I
rtb.requests	1561460040	41478.52222	dc=I
rtb.requests	1561460400	41106.84444	dc=I
rtb.requests	1561460760	39183.80833	dc=I
rtb.requests	1561461120	41678.46111	dc=I
rtb.requests	1561461480	40432.63889	dc=I
rtb.requests	1561461840	40631.66111	dc=I
rtb.requests	1561462200	40201.45556	dc=I
rtb.requests	1561462560	40459.34444	dc=I
rtb.requests	1561462920	41302.49444	dc=I
rtb.requests	1561463280	41602.425	dc=I
rtb.requests	1561463640	42140.17778	dc=I
rtb.requests	1561464000	41437.925	dc=I
rtb.requests	1561464360	41109.56667	dc=I
rtb.requests	1561464720	42233.64722	dc=I
rtb.requests	1561465080	44599.90556	dc=I
rtb.requests	1561465440	45558.24444	dc=I
rtb.requests	1561465800	46990.75556	dc=I
rtb.requests	1561466160	42937.45	dc=I
rtb.requests	1561466520	43078.08889	dc=I
rtb.requests	1561466880	43630.39167	dc=I
rtb.requests	1561467240	45320.975	dc=I
rtb.requests	1561467600	43921.1	dc=I
rtb.requests	1561467960	43136.23056	dc=I
rtb.requests	1561468320	43821.56944	dc=I
rtb.requests	1561468680	42804.31667	dc=I
rtb.requests	1561469040	42829.96944	dc=I
rtb.requests	1561469400	42165.36389	dc=I
rtb.requests	1561469760	42689.97778	dc=I
rtb.requests	1561470120	41793.425	dc=I
rtb.requests	1561470480	41765.16944	dc=I
rtb.requests	1561470840	42097.62778	dc=I
rtb.requests	1561471200	42553.825	dc=I
rtb.requests	1561471560	41644.28611	dc=I
rtb.requests	1561471920	41543.2	dc=I
rtb.requests	1561472280	42784.71667	dc=I
rtb.requests	1561472640	39216.28889	dc=I
rtb.requests	1561473000	40036.72222	dc=I
rtb.requests	1561473360	40673.91389	dc=I
rtb.requests	1561473720	38821.56944	dc=I
rtb.requests	1561474080	37068.08056	dc=I
rtb.requests	1561474440	38154.80278	dc=I
rtb.requests	1561474800	35163.25833	dc=I
rtb.requests	1561475160	34170.55278	dc=I
rtb.requests	1561475520	34905.01389	dc=I
rtb.requests	1561475880	34392.24722	dc=I
rtb.requests	1561476240	33416.15556	dc=I
rtb.requests	1561476600	33465.87778	dc=I
rtb.requests	1561476960	31981.00833	dc=I
rtb.requests	1561477320	30498.2	dc=I
rtb.requests	1561477680	29685.75833	dc=I
rtb.requests	1561478040	28463.37222	dc=I
rtb.requests	1561478400	26465.68889	dc=I
rtb.requests	1561478760	22921.55278	dc=I
rtb.requests	1561479120	22800.74167	dc=I
rtb.requests	1561479480	21403.92222	dc=I
rtb.requests	1561479840	20204.64722	dc=I
rtb.requests	1561480200	19727.47778	dc=I
rtb.requests	1561480560	18443.21667	dc=I
rtb.requests	1561480920	17871.96389	dc=I
rtb.requests	1561481280	17508.75	dc=I
rtb.requests	1561481340	17233.21468	dc=I
rtb.requests	1561481640	15854.30194	dc=I
rtb.requests	1561482000	14499.675	dc=I
rtb.requests	1561482360	13889.07222	dc=I
rtb.requests	1561482720	13959.65	dc=I
rtb.requests	1561483080	13146.21667	dc=I
rtb.requests	1561483440	12742.325	dc=I
rtb.requests	1561483800	12129.03889	dc=I
rtb.requests	1561484160	12105.82222	dc=I
rtb.requests	1561484520	11688.39167	dc=I
rtb.requests	1561484880	10991.31667	dc=I
rtb.requests	1561485240	10465.44167	dc=I
rtb.requests	1561485600	10100.45278	dc=I
